face_L,face_a,face_b,face_chroma,face_redness,face_uniformity,body_L,body_a,body_b,body_chroma,delta_L,delta_a,delta_b,hair_L,hair_chroma,hair_undertone,eye_L,eye_chroma,eye_clarity,contrast_face_hair,contrast_face_eye,contrast_overall,uv_index,cloud_cover,sun_angle,ambient_light_condition,white_balance_shift,shadow_level,highlight_level,noise_level,has_foundation,has_lipstick,has_contour,has_blush,ethnicity_baseline_L,ethnicity_baseline_a,ethnicity_baseline_b,ethnicity,season,sub_season
56.723,1.534,11.268,11.372,0.0803,0.9351,51.428,-0.06,15.107,15.107,5.295,1.594,-3.839,12.453,9.473,-0.3653,25.831,10.108,0.7421,0.4427,0.3089,0.313,9.17,32.66,37.21,0.61,0.0832,0.26,0.2309,0.0796,1,1,0,0,54.725,10.446,13.894,Asian,Summer,Summer_Light
57.338,5.022,6.606,8.298,0.2711,0.8094,50.33,3.474,5.865,6.816,7.008,1.548,0.742,49.716,21.306,0.0106,29.309,7.568,0.4916,0.0762,0.2803,0.2485,4.9,73.79,73.09,0.1476,-0.0138,0.0285,0.1019,0.0633,1,0,0,0,61.597,15.373,22.819,Asian,Summer,Summer_Light
81.065,5.953,7.54,9.607,0.1256,0.7551,73.998,6.963,6.851,9.768,7.068,-1.01,0.689,57.189,9.014,-0.1646,57.683,16.509,0.7302,0.2388,0.2338,0.2406,5.31,69.23,44.87,0.4934,-0.0475,0.03,0.2419,0.022,1,0,0,0,73.605,9.433,12.757,Caucasian,Summer,Summer_Light
43.303,5.338,7.301,9.044,0.1118,0.6999,38.281,5.546,12.375,13.561,5.022,-0.208,-5.075,13.854,3.235,0.2192,19.204,7.775,0.3435,0.2945,0.241,0.2569,6.3,77.02,60.34,0.3442,0.213,0.0889,0.0346,0.0338,0,1,0,0,40.965,6.216,13.526,Asian,Summer,Summer_Soft
53.437,9.186,25.749,27.339,0.3243,0.7314,50.415,8.873,26.817,28.247,3.022,0.313,-1.067,39.461,8.62,1.0,30.492,6.697,0.3552,0.1398,0.2295,0.2644,0.88,44.2,90.0,0.6142,0.0129,0.1342,0.3737,0.0468,0,0,0,1,64.691,8.574,17.723,Asian,Autumn,Autumn_Warm
64.667,6.152,9.834,11.6,0.2352,0.7996,57.765,8.77,12.032,14.889,6.902,-2.618,-2.198,52.661,7.573,-0.7015,44.958,5.037,0.6647,0.1201,0.1971,0.1886,3.76,49.18,36.58,0.4819,0.0297,0.1479,0.4423,0.1002,0,1,0,1,67.715,4.255,19.041,Caucasian,Summer,Summer_Light
63.775,6.464,4.082,7.645,0.2269,0.8208,60.37,5.312,-0.076,5.312,3.405,1.152,4.159,17.608,5.317,-0.2794,26.183,6.329,0.9648,0.4617,0.3759,0.5209,5.1,59.68,63.2,0.5096,-0.0684,0.2779,0.1058,0.1081,1,1,1,0,64.153,5.926,17.295,Caucasian,Winter,Winter_Bright
73.971,14.203,16.828,22.021,0.314,0.8058,68.218,15.614,17.41,23.386,5.753,-1.411,-0.582,51.433,17.124,-0.0438,54.3,24.335,0.7848,0.2254,0.1967,0.219,4.4,95.99,9.39,0.1489,-0.0309,0.1977,0.1537,0.0552,1,1,1,0,62.78,1.619,5.189,Caucasian,Spring,Spring_Clear
52.059,16.973,13.121,21.453,0.4154,0.832,51.336,19.751,13.959,24.186,0.723,-2.779,-0.839,59.043,26.151,0.9825,55.583,21.228,0.7915,0.0698,0.0352,0.2396,2.44,41.86,55.96,0.5729,-0.1628,0.2452,0.0715,0.0432,1,1,0,1,49.268,0.566,10.987,Caucasian,Spring,Spring_Clear
64.254,3.168,5.434,6.29,0.0775,0.8856,61.623,6.237,7.293,9.597,2.631,-3.07,-1.859,55.506,17.843,-0.4736,43.465,14.667,0.4998,0.0875,0.2079,0.1849,6.59,8.97,81.68,0.7872,0.0187,0.3351,0.0699,0.002,0,0,0,0,67.644,10.163,5.0,Caucasian,Summer,Summer_Soft
23.348,-4.093,2.413,4.752,0.0332,0.7957,22.008,-5.05,-0.01,5.05,1.34,0.957,2.423,18.693,12.428,0.1992,46.192,20.623,0.3445,0.0465,0.2284,0.1785,10.42,29.95,90.0,0.7809,-0.0324,0.2949,0.0761,0.0117,0,0,0,0,34.742,6.491,18.69,African,Summer,Summer_Soft
17.146,11.123,12.372,16.637,0.3897,0.7713,14.17,12.38,10.31,16.111,2.976,-1.256,2.062,15.266,3.965,0.5086,20.458,7.05,0.5795,0.0188,0.0331,0.2552,2.95,48.64,22.11,0.6036,-0.0028,0.133,0.1238,0.0226,1,1,1,0,24.257,3.039,9.584,African,Autumn,Autumn_Deep
43.83,0.604,12.062,12.077,0.1274,0.8217,37.718,3.138,11.54,11.959,6.112,-2.533,0.521,7.84,3.176,-0.205,29.023,8.111,0.5541,0.3599,0.1481,0.2229,0.0,0.0,50.75,1.0,-0.1358,0.2746,0.3134,0.0628,0,1,0,0,35.486,6.446,20.931,African,Summer,Summer_Soft
48.192,-0.643,1.657,1.778,0.114,0.8745,43.01,1.404,-0.553,1.509,5.182,-2.047,2.211,53.167,7.517,-0.7333,40.783,6.13,0.6683,0.0497,0.0741,0.1938,10.52,8.83,41.44,0.8874,-0.0052,0.3308,0.0569,0.23,1,0,0,0,54.2,5.165,11.816,Caucasian,Summer,Summer_Cool
62.83,8.395,-4.436,9.495,0.1738,0.8191,59.043,5.512,-3.943,6.778,3.787,2.883,-0.492,15.907,2.257,-0.101,33.824,12.858,0.645,0.4692,0.2901,0.4494,8.11,21.64,37.19,0.8048,-0.0162,0.2345,0.0115,0.0539,0,0,0,1,63.488,13.189,14.847,Asian,Winter,Winter_Clear
49.266,0.721,1.926,2.057,0.1061,0.7595,43.264,4.865,3.121,5.78,6.003,-4.144,-1.195,36.0,16.25,-1.0,15.922,5.276,0.6673,0.1327,0.3334,0.2721,8.72,19.0,56.53,0.798,-0.1343,0.422,0.2263,0.2446,1,0,0,0,44.039,12.402,18.628,Asian,Summer,Summer_Cool
39.463,11.398,24.286,26.828,0.2542,0.8771,36.112,6.635,27.37,28.162,3.351,4.763,-3.083,18.981,2.254,0.32,17.616,6.518,0.5558,0.2048,0.2185,0.3145,9.75,56.62,47.72,0.4876,0.0743,0.2363,0.1075,0.0018,1,0,1,0,40.904,4.209,19.655,Asian,Spring,Spring_Warm
42.516,8.805,5.184,10.218,0.2371,0.8671,38.96,7.581,5.615,9.434,3.556,1.224,-0.431,20.044,9.97,-0.6257,23.442,6.33,0.7432,0.2247,0.1907,0.2654,4.29,50.56,46.72,0.4741,0.1605,0.3365,0.2425,0.0338,1,0,0,0,44.797,14.679,23.921,Asian,Winter,Winter_Cool
67.2,8.298,22.814,24.276,0.242,0.7382,66.51,7.94,25.348,26.563,0.69,0.358,-2.535,13.275,2.068,0.468,29.652,7.507,0.4651,0.5393,0.3755,0.3343,2.41,15.06,30.79,0.9948,-0.1765,0.3566,0.0314,0.0238,0,1,0,0,68.54,9.524,26.357,Asian,Autumn,Autumn_Soft
69.884,7.895,7.615,10.969,0.2772,0.84,65.513,4.228,5.791,7.17,4.37,3.667,1.824,11.517,3.153,-0.4065,27.9,6.774,0.4128,0.5837,0.4198,0.3876,7.61,65.71,54.04,0.4538,0.0244,0.0677,0.1096,0.0119,1,1,1,0,61.181,11.014,26.182,Asian,Summer,Summer_Light
61.34,6.938,1.294,7.058,0.2277,0.6881,59.929,4.508,3.847,5.927,1.411,2.43,-2.553,26.012,3.055,-0.8681,15.976,8.104,0.6239,0.3533,0.4536,0.4203,3.17,78.13,46.07,0.2556,0.0569,0.2089,0.0642,0.0094,0,0,0,0,70.536,9.244,9.172,Caucasian,Winter,Winter_Deep
54.683,4.1,2.785,4.957,0.089,0.8923,49.091,1.838,2.04,2.746,5.592,2.262,0.746,51.289,15.067,0.2236,44.635,10.304,0.5386,0.0339,0.1005,0.1567,3.51,72.76,17.94,0.3324,-0.0941,0.2008,0.07,0.1883,0,1,0,0,67.48,5.978,12.276,Caucasian,Summer,Summer_Soft
88.352,6.42,8.298,10.492,0.2802,0.858,84.104,6.257,9.12,11.06,4.248,0.163,-0.822,46.47,6.873,-0.4369,33.837,8.15,0.6585,0.4188,0.5452,0.3693,4.44,61.38,12.82,0.5585,0.0379,0.0292,0.311,0.0148,1,0,0,0,73.832,6.73,16.161,Caucasian,Summer,Summer_Cool
56.304,2.738,6.698,7.236,0.0718,0.8597,52.664,4.022,6.587,7.718,3.64,-1.285,0.111,17.856,9.025,0.2771,25.979,8.401,0.5703,0.3845,0.3032,0.2634,2.69,49.49,48.16,0.6443,-0.1204,0.1764,0.0685,0.1585,1,0,0,0,51.538,14.673,18.976,Asian,Summer,Summer_Light
36.94,5.511,6.972,8.887,0.2415,0.8634,32.354,4.267,6.245,7.563,4.586,1.245,0.727,25.087,16.193,-0.2333,28.299,3.651,0.7111,0.1185,0.0864,0.3463,3.82,70.4,15.39,0.2989,0.0048,0.2208,0.0211,0.059,1,1,0,1,33.413,6.241,13.275,African,Winter,Winter_Bright
64.36,2.694,4.809,5.513,0.1457,0.8738,60.35,5.35,4.21,6.808,4.01,-2.656,0.599,48.047,19.735,-0.7998,43.029,9.91,0.663,0.1631,0.2133,0.2721,6.3,100.0,37.03,0.05,0.0909,0.0828,0.2876,0.0535,1,0,1,0,67.253,7.557,18.096,Caucasian,Summer,Summer_Cool
67.333,7.078,15.029,16.612,0.2026,0.8047,66.431,9.013,13.762,16.45,0.902,-1.935,1.268,19.663,3.269,0.7849,28.128,8.737,0.7752,0.4767,0.392,0.376,9.31,19.09,70.1,0.7499,-0.0442,0.365,0.0558,0.0027,1,1,0,1,69.168,8.314,19.816,Asian,Spring,Spring_Clear
54.616,7.468,13.323,15.273,0.2328,0.688,43.66,8.461,8.741,12.165,10.956,-0.993,4.581,13.427,9.564,0.7129,27.749,4.054,0.7324,0.4119,0.2687,0.277,3.65,76.53,62.3,0.3282,-0.1241,0.1402,0.2639,0.0792,0,1,0,1,44.615,3.111,11.773,African,Spring,Spring_Light
56.67,0.015,-1.822,1.822,0.0944,0.8462,52.173,0.794,-1.694,1.871,4.497,-0.779,-0.129,40.654,8.306,-0.6006,31.812,9.838,0.427,0.1602,0.2486,0.1805,5.19,30.08,70.48,0.7765,-0.0362,0.2194,0.1903,0.0231,1,1,1,0,67.26,12.557,17.445,Caucasian,Summer,Summer_Cool
18.693,1.806,0.382,1.846,0.1311,0.8439,15.122,2.17,2.294,3.158,3.571,-0.364,-1.912,15.561,7.674,-1.0,29.754,9.909,0.7634,0.0313,0.1106,0.3501,6.4,18.51,50.07,0.8094,-0.3,0.1474,0.2737,0.0126,1,0,1,0,23.829,7.304,20.613,African,Winter,Winter_Deep
39.209,20.975,21.348,29.929,0.3837,0.7534,33.102,22.117,19.002,29.158,6.107,-1.141,2.346,17.328,5.367,1.0,22.49,6.014,0.4924,0.2188,0.1672,0.1679,4.65,67.82,55.85,0.4058,-0.0352,0.122,0.2042,0.0768,0,0,0,1,38.299,13.088,19.627,African,Autumn,Autumn_Warm
49.778,4.721,5.51,7.256,0.2357,0.8774,45.76,6.441,6.037,8.828,4.019,-1.72,-0.527,48.258,11.26,-0.1832,36.377,14.911,0.2512,0.0152,0.134,0.1094,4.84,61.32,20.77,0.4454,-0.1312,0.43,0.0772,0.0728,0,0,0,1,63.939,1.241,13.149,Caucasian,Summer,Summer_Muted
37.22,17.26,16.201,23.672,0.3484,0.7913,32.289,14.367,14.018,20.073,4.931,2.893,2.183,15.61,3.471,0.9658,30.106,7.355,0.4809,0.2161,0.0711,0.1617,5.13,62.98,81.23,0.469,0.0218,0.2411,0.0784,0.0075,1,0,1,1,41.762,8.616,15.57,Asian,Autumn,Autumn_Deep
58.271,15.266,21.447,26.326,0.3434,0.8941,54.62,17.601,19.875,26.548,3.651,-2.335,1.572,30.517,3.531,0.6567,15.085,7.463,0.5438,0.2775,0.4319,0.3986,0.0,27.01,19.33,0.7079,-0.0367,0.0212,0.1212,0.0291,1,1,0,0,60.697,6.661,12.657,Caucasian,Autumn,Autumn_Deep
51.208,5.773,6.499,8.693,0.1788,0.922,47.009,9.407,5.337,10.816,4.199,-3.634,1.162,18.565,3.014,-0.1285,24.924,7.637,0.4889,0.3264,0.2628,0.219,5.27,45.11,42.31,0.6223,0.0203,0.0913,0.1449,0.0142,1,0,0,1,41.473,7.883,22.698,African,Summer,Summer_Soft
53.871,4.58,24.225,24.654,0.2031,0.7588,50.429,5.471,24.077,24.691,3.442,-0.89,0.148,36.805,8.726,0.5337,18.863,5.295,0.5114,0.1707,0.3501,0.1979,5.8,47.6,15.15,0.6091,-0.0288,0.113,0.1057,0.0758,0,0,0,1,67.887,13.833,13.304,Caucasian,Autumn,Autumn_Muted
51.816,13.721,17.147,21.961,0.3414,0.6992,40.729,12.019,16.658,20.541,11.087,1.702,0.489,34.349,5.576,0.8919,14.47,10.966,0.5481,0.1747,0.3735,0.345,8.15,31.09,76.21,0.6828,-0.0453,0.0807,0.2851,0.0701,0,1,0,1,63.422,9.589,10.905,Caucasian,Autumn,Autumn_Deep
55.253,4.946,4.262,6.529,0.178,0.8508,51.152,4.237,9.515,10.416,4.101,0.709,-5.253,41.542,26.149,-0.4995,42.729,7.742,0.4937,0.1371,0.1252,0.1788,2.69,47.59,12.88,0.5273,-0.0403,0.2447,0.0919,0.1794,1,0,0,1,67.156,8.678,9.119,Caucasian,Summer,Summer_Soft
43.765,4.302,3.441,5.509,0.1345,0.8352,37.94,4.642,-0.254,4.649,5.825,-0.34,3.695,19.674,5.764,-0.9103,25.613,8.73,0.6176,0.2409,0.1815,0.2621,1.79,29.84,63.2,0.67,-0.0591,0.1572,0.1875,0.006,1,1,1,1,33.195,7.104,10.133,African,Summer,Summer_Cool
62.626,19.793,26.919,33.412,0.4348,0.8957,53.419,22.425,29.332,36.922,9.207,-2.632,-2.413,25.094,2.746,1.0,18.823,19.439,0.3883,0.3753,0.438,0.4838,3.4,12.61,42.49,0.7941,0.0585,0.0479,0.1187,0.0944,0,1,0,1,69.56,9.738,12.801,Caucasian,Autumn,Autumn_Deep
65.486,9.562,16.206,18.817,0.3291,0.9016,62.965,7.685,19.988,21.415,2.52,1.876,-3.782,30.509,8.228,0.5046,54.567,18.518,0.6977,0.3498,0.1092,0.2267,5.83,82.89,34.62,0.2756,-0.0113,0.4837,0.4133,0.0402,1,0,0,1,55.894,10.909,16.944,Asian,Spring,Spring_Clear
55.736,5.138,2.738,5.822,0.2445,0.821,52.543,3.786,1.891,4.232,3.193,1.352,0.848,29.891,2.93,-0.8422,22.041,5.468,0.7571,0.2585,0.337,0.3945,10.01,12.67,74.66,1.0,-0.1063,0.0362,0.2594,0.0464,0,0,0,1,46.607,10.664,23.165,African,Winter,Winter_Cool
71.663,3.474,-3.773,5.129,0.1315,0.8317,69.211,3.621,-1.434,3.895,2.452,-0.147,-2.338,29.523,3.221,-1.0,16.875,14.651,0.6545,0.4214,0.5479,0.4515,4.07,49.27,46.13,0.5559,0.0516,0.4183,0.2727,0.1017,0,0,0,1,75.47,13.266,12.804,Caucasian,Winter,Winter_Cool
44.53,3.586,-1.663,3.953,0.1774,0.8174,39.706,6.914,3.708,7.846,4.823,-3.329,-5.371,12.856,4.472,-1.0,23.33,9.327,0.6062,0.3167,0.212,0.255,3.41,72.14,87.81,0.3531,0.0781,0.1404,0.1284,0.2199,1,0,1,0,28.438,10.673,23.476,African,Summer,Summer_Cool
60.399,5.476,-1.861,5.784,0.15,0.8613,58.439,7.582,-0.492,7.598,1.96,-2.106,-1.369,21.817,2.932,-0.6742,16.164,8.453,0.4719,0.3858,0.4423,0.4044,6.03,45.92,76.97,0.6013,-0.0186,0.4195,0.1505,0.0567,0,0,0,0,56.019,3.687,12.787,Caucasian,Winter,Winter_Cool
61.866,12.394,15.785,20.07,0.357,0.7162,57.788,15.959,19.087,24.88,4.078,-3.565,-3.302,59.917,14.771,1.0,45.321,16.303,0.4712,0.0195,0.1654,0.1287,2.3,40.17,76.43,0.7023,-0.1363,0.5124,0.3944,0.0192,0,0,0,1,53.317,3.278,24.16,Asian,Spring,Spring_Warm
45.474,12.427,28.014,30.646,0.2199,0.8794,39.433,10.501,31.948,33.63,6.04,1.926,-3.935,39.241,12.733,0.4273,25.74,3.78,0.329,0.0623,0.1973,0.1732,4.58,22.92,60.46,0.7729,0.0314,0.1555,0.0808,0.024,0,0,0,0,55.973,7.205,15.128,Asian,Autumn,Autumn_Muted
59.448,5.533,3.024,6.305,0.2657,0.8381,53.8,3.014,4.481,5.4,5.648,2.519,-1.456,43.195,10.97,-0.9031,30.041,5.539,0.6495,0.1625,0.2941,0.2812,5.41,78.11,65.83,0.2125,0.0052,0.2611,0.1439,0.1272,0,1,0,1,59.951,8.888,22.434,Asian,Summer,Summer_Cool
62.781,13.397,5.281,14.401,0.2798,0.883,56.538,16.752,3.016,17.021,6.244,-3.354,2.265,21.038,3.681,-0.315,28.538,11.143,0.5878,0.4174,0.3424,0.3173,6.2,35.9,78.73,0.7375,0.0485,0.0906,0.0523,0.0722,1,1,0,1,58.241,10.394,14.497,Asian,Summer,Summer_Light
23.564,7.378,-4.884,8.848,0.2067,0.8523,21.188,10.104,-3.234,10.609,2.376,-2.726,-1.65,19.361,3.973,-0.6646,29.086,6.489,0.4456,0.042,0.0552,0.2179,4.33,55.82,42.76,0.5395,-0.0015,0.0834,0.1428,0.0572,1,1,0,0,36.554,11.87,15.333,African,Winter,Winter_Deep
66.195,8.97,16.813,19.056,0.178,0.7591,61.629,10.646,22.983,25.329,4.566,-1.676,-6.17,18.952,15.228,0.7709,59.186,15.507,0.5731,0.4724,0.0701,0.279,4.35,0.0,38.98,0.9517,0.0532,0.1412,0.0991,0.2263,0,0,0,0,60.025,16.169,16.925,Asian,Spring,Spring_Light
69.048,12.835,13.909,18.926,0.3311,0.8135,61.222,10.222,14.345,17.614,7.826,2.613,-0.436,23.239,4.433,0.7916,23.856,7.089,0.2701,0.4581,0.4519,0.3324,5.87,57.09,66.18,0.4093,0.0709,0.235,0.1362,0.1115,1,0,0,0,70.043,7.694,13.384,Asian,Autumn,Autumn_Muted
72.366,10.441,10.144,14.557,0.3308,0.7223,67.716,9.385,11.548,14.88,4.65,1.055,-1.403,64.341,23.314,0.8949,57.122,19.512,0.8005,0.0802,0.1524,0.3141,4.11,21.08,50.79,0.8502,-0.0077,0.0273,0.1601,0.0123,0,0,0,1,66.534,6.998,15.55,Caucasian,Spring,Spring_Bright
28.682,19.703,33.272,38.668,0.4153,0.8907,27.145,19.401,33.795,38.968,1.537,0.303,-0.524,15.36,15.141,1.0,27.961,12.463,0.5302,0.1332,0.0072,0.2195,0.86,57.31,35.69,0.4151,-0.0027,0.0896,0.1448,0.0616,1,0,0,1,36.821,8.497,12.843,African,Spring,Spring_Warm
53.286,7.005,6.826,9.781,0.1269,0.7494,49.332,10.043,7.239,12.38,3.954,-3.038,-0.413,27.359,3.732,-0.0899,27.055,6.662,0.5647,0.2593,0.2623,0.2823,4.92,100.0,0.0,0.0666,-0.0173,0.2476,0.2331,0.0608,0,0,0,0,53.313,8.0,14.236,Asian,Summer,Summer_Soft
50.094,17.096,26.901,31.874,0.3919,0.7862,44.554,17.8,29.518,34.469,5.54,-0.704,-2.617,25.093,4.959,1.0,16.718,4.948,0.2856,0.25,0.3338,0.2907,1.55,17.65,18.01,0.7616,0.0089,0.2736,0.2162,0.0389,0,1,0,0,63.225,5.707,17.23,Caucasian,Autumn,Autumn_Deep
47.69,16.712,23.948,29.203,0.3907,0.8872,39.113,19.054,25.744,32.028,8.577,-2.342,-1.795,16.532,5.496,0.5591,21.309,9.925,0.4201,0.3116,0.2638,0.3654,3.68,46.1,44.53,0.5438,-0.01,0.2872,0.1409,0.1206,0,1,0,1,41.804,5.346,11.122,African,Spring,Spring_Warm
64.065,8.426,4.264,9.444,0.2794,0.9242,60.107,7.82,4.283,8.916,3.959,0.607,-0.02,49.712,13.884,-0.4947,45.205,29.539,0.6089,0.1435,0.1886,0.1716,3.34,15.96,33.2,0.7695,0.0379,0.1048,0.3864,0.113,0,1,0,1,58.847,7.31,17.482,Caucasian,Summer,Summer_Light
77.304,13.1,14.127,19.266,0.3315,0.7697,69.564,13.439,9.498,16.457,7.74,-0.34,4.629,53.832,13.595,0.9063,49.44,22.408,0.7015,0.2347,0.2786,0.3224,6.18,79.78,35.66,0.1848,0.0069,0.1519,0.0749,0.0718,0,1,0,1,69.015,4.744,16.229,Caucasian,Spring,Spring_Bright
36.348,4.765,24.903,25.355,0.1091,0.7996,32.373,3.903,23.38,23.703,3.975,0.862,1.523,18.542,4.522,0.2265,29.871,14.158,0.2983,0.1781,0.0648,0.1494,3.67,56.38,46.41,0.535,-0.0013,0.1132,0.0283,0.0456,0,0,0,0,40.954,7.532,18.931,African,Autumn,Autumn_Muted
86.779,11.05,19.333,22.268,0.1977,0.8798,84.627,10.984,19.287,22.196,2.152,0.066,0.045,24.761,4.764,0.5042,29.619,25.0,0.5982,0.6202,0.5716,0.4929,5.27,76.05,59.43,0.4695,0.2195,0.1106,0.1678,0.0,1,0,1,0,69.668,12.066,17.6,Asian,Spring,Spring_Clear
66.535,8.575,11.383,14.251,0.1926,0.8218,64.247,10.275,9.677,14.114,2.287,-1.7,1.706,57.745,12.963,0.9831,62.038,30.447,0.7767,0.0879,0.045,0.2421,7.55,27.73,84.17,0.7648,-0.1331,0.1197,0.0327,0.0222,0,1,0,1,61.818,9.617,11.226,Caucasian,Spring,Spring_Bright
57.464,0.515,5.996,6.019,0.0696,0.7922,53.581,-3.042,4.646,5.554,3.884,3.557,1.35,16.998,2.725,-0.1955,19.461,8.852,0.451,0.4047,0.38,0.3626,2.62,60.01,8.39,0.4505,0.0253,0.1947,0.3289,0.1993,0,0,0,0,48.599,5.881,16.766,African,Summer,Summer_Muted
47.238,5.549,11.251,12.545,0.1655,0.9006,39.969,4.88,6.943,8.486,7.269,0.669,4.308,13.928,2.329,-0.3472,18.89,17.748,0.3593,0.3331,0.2835,0.2817,8.58,0.05,41.28,1.0,0.0973,0.0823,0.0443,0.0216,1,0,0,1,36.334,9.485,17.88,African,Summer,Summer_Light
59.927,5.616,11.678,12.958,0.1625,0.8931,55.721,5.852,10.361,11.899,4.207,-0.236,1.317,14.511,5.555,0.2113,25.291,6.182,0.8587,0.4542,0.3464,0.3696,8.5,24.24,45.02,0.8538,-0.0181,0.0247,0.1766,0.0457,1,0,0,1,58.691,12.238,19.526,Asian,Spring,Spring_Bright
68.397,-1.319,-0.251,1.343,0.0502,0.884,60.193,-1.234,1.081,1.64,8.204,-0.086,-1.332,21.478,2.075,-1.0,24.508,10.509,0.5976,0.4692,0.4389,0.3852,2.6,28.24,67.77,0.7428,-0.0076,0.2038,0.4114,0.099,0,0,0,0,57.138,12.34,15.228,Asian,Winter,Winter_Cool
50.961,1.965,-0.287,1.985,0.0845,0.8071,37.206,3.187,0.033,3.187,13.755,-1.222,-0.32,22.014,7.005,-0.359,25.206,5.863,0.8021,0.2895,0.2575,0.464,1.7,31.37,67.76,0.648,-0.0506,0.3064,0.181,0.2899,1,0,0,1,51.648,7.147,8.24,Asian,Winter,Winter_Bright
76.605,8.593,14.951,17.245,0.2454,0.8387,71.955,8.287,13.61,15.934,4.65,0.306,1.342,12.275,2.743,0.4453,17.521,5.607,0.6746,0.6433,0.5908,0.5957,2.83,71.01,7.6,0.2019,0.0175,0.1333,0.0901,0.0252,0,1,0,1,68.419,10.07,18.238,Asian,Spring,Spring_Clear
71.179,3.473,1.165,3.664,0.1346,0.8555,63.331,7.265,-0.646,7.294,7.848,-3.791,1.811,15.471,5.086,-0.6139,29.979,6.816,0.95,0.5571,0.412,0.5242,5.97,88.28,45.3,0.1212,0.0034,0.088,0.1893,0.1635,1,0,0,1,60.853,3.513,14.785,Caucasian,Winter,Winter_Bright
